'hood#n	08641944n
solvable#a	02266451a
solvate#n	15047988n
solvate#v	00446695v
solvating_agent#n	15048184n
solvation#n	13558125n
solvay#n	11307937n
solvay_process#n	13558325n
solve#v	00634906v
solved#a	02267012a
solvency#n	14478143n
solvent#n	15047313n
solvent#a	02026312a
solver#n	10458111n
solving#n	00153809n
solway_firth#n	09440036n
solzhenitsyn#n	11308120n
som#n	13703505n
soma#n	13237988n
somaesthesia#n	05721180n
somaesthesis#n	05659856n
somali#n	09749880n
somali#a	03119182a
somali_peninsula#n	08999154n
somalia#n	08998560n
somalian#n	09749880n
somalian#a	03119182a
somalian_monetary_unit#n	13706753n
somalian_shilling#n	13706864n
soman#n	15056372n
somataesthesis#n	05659856n
somateria#n	01853072n
somatesthesia#n	05721180n
somatic#a	01778935a
somatic_cell#n	05430628n
somatic_cell_nuclear_transfer#n	00638770n
somatic_cell_nuclear_transplantation#n	00638770n
somatic_chromosome#n	05443966n
somatic_delusion#n	14378897n
somatic_sensation#n	05721180n
somatic_sense#n	05659856n
somatic_sensory_system#n	05659856n
somatogenetic#a	01779792a
somatogenic#a	01779792a
somatosense#n	05654873n
somatosensory#a	02799595a
somatosensory_system#n	05659856n
somatotrophic_hormone#n	05412649n
somatotrophin#n	05412649n
somatotropic_hormone#n	05412649n
somatotropin#n	05412649n
somatotype#n	04998966n
somber#a	00405179a
somberly#r	00461152r
somberness#n	13985462n
sombre#a	00405179a
sombrely#r	00461152r
sombreness#n	13985462n
sombrero#n	08988333n
some#a	02267308a
some#r	00007015r
some_other#a	02070188a
somebody#n	00007846n
someday#r	00189401r
somehow#r	00026137r
someone#n	00007846n
someplace#r	00025559r
somersault#n	00439484n
somersault#v	01867697v
somersaulting#n	00439484n
somerset#n	08883179n
somerset_maugham#n	11164970n
somesthesia#n	05721180n
somesthesis#n	05659856n
sometime#r	00021702r
sometime#a	01729566a
sometimes#r	00021878r
someway#r	00026137r
someways#r	00026137r
somewhat#r	00036291r
somewhere#n	08489765n
somewhere#r	00025559r
somite#n	02665812n
somme#n	01295528n
somme_river#n	01295528n
sommelier#n	10623806n
somnambulate#v	01916960v
somnambulation#n	00285141n
somnambulism#n	00285141n
somnambulist#n	10611361n
somniferous#a	02309187a
somnific#a	02309187a
somniloquism#n	00285387n
somniloquist#n	10623949n
somniloquy#n	00285387n
somnolence#n	14030435n
somnolent#a	00189253a
somnolently#r	00323049r
somrai#n	06985310n
son#n	10624074n
son-in-law#n	10624915n
son_of_a_bitch#n	09815188n
sonant#n	07120364n
sonant#a	02286083a
sonar#n	04259771n
sonata#n	07044088n
sonata_form#n	05932282n
sonatina#n	07044680n
sonchus#n	12018640n
sonchus_oleraceus#n	12019035n
sondheim#n	11308396n
sone#n	13713817n
song#n	07048000n
song_and_dance#n	06893772n
song_dynasty#n	08158741n
song_of_solomon#n	06437824n
song_of_songs#n	06437824n
song_sparrow#n	01536644n
song_thrush#n	01558149n
songbird#n	01526521n
songbook#n	06418146n
songful#a	01501619a
songfulness#n	04983688n
songhai#n	06998631n
songlike#a	01501505a
songster#n	10624540n
songstress#n	10624437n
songwriter#n	10624540n
sonic#a	00175528a
sonic_barrier#n	11505057n
sonic_boom#n	07348041n
sonic_delay_line#n	02676097n
sonic_depth_finder#n	04260192n
sonnet#n	06381372n
sonnet#v	01703730v
sonneteer#n	10625000n
sonny#n	09871229n
sonny_boy#n	09871229n
sonny_liston#n	11135044n
sonogram#n	04260364n
sonograph#n	04260589n
sonography#n	00901789n
sonometer#n	02757337n
sonora#n	01736256n
sonora_gum#n	12723330n
sonora_lac#n	14702256n
sonora_semiannulata#n	01736375n
sonoran_desert#n	09172910n
sonoran_lyre_snake#n	01739871n
sonoran_whipsnake#n	01732093n
sonority#n	04989657n
sonorous#a	01457692a
sonorously#r	00445187r
sonorousness#n	04989657n
sonsie#a	02138989a
sonsy#a	02138989a
sontag#n	11308520n
soochong#n	07935043n
soon#r	00033922r
soon_enough#r	00167816r
sooner#n	09745132n
sooner#r	00259096r
sooner_state#n	09131654n
soonest#r	00034641r
soot#n	14793533n
soot#v	01262470v
soot-black#a	00392184a
soot_black#n	04960582n
sooth#n	04867440n
soothe#v	01814815v
soothing#a	00477896a
soothing_syrup#n	04260816n
soothingly#r	00461283r
soothsayer#n	10102506n
soothsaying#n	05776212n
sootiness#n	14498972n
sooty#a	00388849a
sooty-black#a	00392184a
sop#n	07861421n
sop#v	02284429v
sop_up#v	01539063v
soph#n	10625438n
sophia_loren#n	11138180n
sophie_tucker#n	11351347n
sophism#n	05895138n
sophist#n	10625099n
sophistic#a	02999616a
sophistical#a	02500736a
sophisticate#n	10625285n
sophisticate#v	02388764v
sophisticated#a	02270342a
sophistication#n	05987835n
sophistry#n	05895138n
sophocles#n	11308624n
sophomore#n	10625438n
sophomore#a	01015599a
sophomore_class#n	08239590n
sophonias#n	11406023n
sophora#n	12570126n
sophora_japonica#n	12570394n
sophora_secundiflora#n	12570703n
sophora_sinensis#n	12570394n
sophora_tetraptera#n	12570972n
sopor#n	14025993n
soporiferous#a	02309187a
soporific#n	04260934n
soporific#a	02309187a
sopping#r	00461405r
soppy#a	02549032a
sopranino#a	01215028a
soprano#n	10625546n
soprano#a	01214842a
soprano_clef#n	06863326n
sops#n	07861421n
sorb#n	07770180n
sorb#v	01540449v
sorb_apple#n	12658846n
sorb_apple_tree#n	12658846n
sorbate#n	14596956n
sorbed#a	01330307a
sorbefacient#a	00006777a
sorbent#n	14597158n
sorbent_material#n	14597158n
sorbet#n	07614348n
sorbian#n	09751403n
sorbic_acid#n	14739978n
sorbonne#n	03890713n
sorbus#n	12657940n
sorbus_americana#n	12658603n
sorbus_aucuparia#n	12658308n
sorbus_domestica#n	12658846n
sorbus_sitchensis#n	12658715n
sorbus_torminalis#n	12659064n
sorcerer#n	10625860n
sorceress#n	10626540n
sorcerise#v	00383275v
sorcerize#v	00383275v
sorcerous#a	01576071a
sorcery#n	05978812n
sordid#a	01984806a
sordidly#r	00461506r
sordidness#n	14499111n
sordino#n	04264050n
sore#n	14183065n
sore#a	01712753a
sore-eyed#a	01178231a
sore_throat#n	14173484n
sorehead#n	10626630n
sorely#r	00461617r
soren_aabye_kierkegaard#n	11104676n
soren_kierkegaard#n	11104676n
soren_peter_lauritz_sorensen#n	11308739n
soreness#n	14332617n
sorensen#n	11308739n
sorex#n	01891865n
sorex_araneus#n	01892030n
sorex_cinereus#n	01892145n
sorex_palustris#n	01892744n
sorgho#n	12138757n
sorghum#n	12137120n
sorghum_bicolor#n	12137337n
sorghum_halepense#n	12138905n
sorghum_molasses#n	07860103n
sorghum_vulgare_caudatum#n	12137954n
sorghum_vulgare_rosburghii#n	12138578n
sorghum_vulgare_technicum#n	12139196n
sorgo#n	12138757n
soricidae#n	01891438n
sororal#a	00291665a
sorority#n	08230477n
sorption#n	13558490n
sorrel#n	12702948n
sorrel#a	00384099a
sorrel_tree#n	12242409n
sorriness#n	05140278n
sorrow#n	07534430n
sorrow#v	01797347v
sorrower#n	10335246n
sorrowful#a	01364008a
sorrowfully#r	00461755r
sorrowfulness#n	13989051n
sorrowing#a	01364817a
sorry#a	01150475a
sort#n	05839024n
sort#v	02400378v
sort_of#r	00018302r
sort_out#v	00654625v
sort_program#n	06580103n
sorted#a	02224509a
sorter#n	10626867n
sortie#n	00971309n
sorting#n	13558696n
sorting_algorithm#n	05847658n
sorting_program#n	06580103n
sortition#n	00180054n
sorus#n	13094273n
sos#n	06803845n
sot#n	10037385n
soteriological#a	02799689a
soteriology#n	06191687n
sothis#n	09435965n
sotho#n	09693372n
sotho#a	03119441a
sottish#a	00798491a
sottishly#r	00461941r
sottishness#n	14019039n
sotto_voce#r	00257418r
sou#n	13393265n
sou'-east#n	13832841n
sou'-east#r	00462016r
sou'-sou'-east#n	13833119n
sou'-sou'-east#r	00462203r
sou'-sou'-west#n	13833623n
sou'-sou'-west#r	00462301r
sou'-west#n	13833886n
sou'easter#n	11448714n
sou'west#r	00462110r
sou'wester#n	11448593n
souari#n	12373739n
souari_nut#n	12373739n
souari_tree#n	12373739n
soubise#n	07839730n
soubrette#n	10626994n
soubriquet#n	06337693n
souchong#n	07935043n
soudan#n	09029457n
souffle#n	07843464n
souffle-like#a	00618865a
soufflot#n	11308877n
sough#v	01046815v
soughing#a	01456221a
soughingly#r	00510495r
sought#a	03154886a
sought-after#a	02527588a
sought_after#a	00733297a
souk#n	04261281n
soul#n	10627082n
soul-destroying#a	00588535a
soul-searching#n	05786871n
soul-stirring#a	01561429a
soul_brother#n	09637435n
soul_food#n	07938313n
soul_kiss#n	00138799n
soul_mate#n	10627252n
soul_patch#n	05263448n
soulful#a	00856651a
soulfully#r	00210237r
soulfulness#n	07480790n
soulless#a	02107991a
soullessly#r	00462399r
sound#n	04981139n
sound#v	02134927v
sound#a	02273326a
sound_alphabet#n	06500448n
sound_asleep#a	00188738a
sound_barrier#n	11505057n
sound_bite#n	07152151n
sound_bow#n	04261369n
sound_camera#n	04261638n
sound_effect#n	05917869n
sound_film#n	04261868n
sound_hole#n	04262010n
sound_judgement#n	04892084n
sound_judgment#n	04892084n
sound_law#n	06180720n
sound_off#v	01027668v
sound_out#v	00978549v
sound_perception#n	05711503n
sound_pollution#n	14518539n
sound_pressure#n	11497378n
sound_pressure_level#n	05100866n
sound_projection#n	11512331n
sound_property#n	04983122n
sound_ranging#n	01005100n
sound_recording#n	04262678n
sound_reflection#n	05010801n
sound_reproduction#n	01020362n
sound_spectrograph#n	04262869n
sound_spectrum#n	11510714n
sound_structure#n	06177729n
sound_system#n	02757462n
sound_truck#n	04263139n
sound_unit#n	13608319n
sound_wave#n	07347224n
soundable#a	00994744a
soundboard#n	04262161n
soundbox#n	04261506n
sounder#n	04261767n
sounding#n	05135451n
sounding#a	01874886a
sounding_board#n	10627349n
sounding_lead#n	04262410n
sounding_line#n	03651947n
sounding_rocket#n	04262530n
soundless#a	01919428a
soundlessly#r	00462520r
soundlessness#n	04982856n
soundly#r	00057892r
soundman#n	10627557n
soundness#n	14546844n
soundproof#v	00495505v
soundproof#a	01775420a
soundtrack#n	04262969n
soup#n	07583197n
soup#v	00085246v
soup-fin#n	01491661n
soup-strainer#n	05262422n
soup_bowl#n	04263257n
soup_du_jour#n	07583865n
soup_kitchen#n	08056128n
soup_ladle#n	04263336n
soup_plate#n	04263417n
soup_spoon#n	04263502n
soup_up#v	00170997v
soupcon#n	13774115n
soupfin#n	01491661n
soupfin_shark#n	01491661n
soupiness#n	04936690n
soupspoon#n	04263502n
soupy#a	02416898a
sour#n	07918028n
sour#v	00458471v
sour#a	01054922a
sour-gum_family#n	12339972n
sour-tasting#a	02395810a
sour_bread#n	07686720n
sour_cherry#n	12643473n
sour_cherry_tree#n	12643473n
sour_cream#n	07848093n
sour_dock#n	12604228n
sour_fig#n	11819509n
sour_gourd#n	12189779n
sour_grapes#n	06719299n
sour_grass#n	12603959n
sour_gum#n	12340755n
sour_mash#n	14948812n
sour_mash_whiskey#n	07907831n
sour_milk#n	07844786n
sour_orange#n	12708654n
sour_salt#n	07813717n
sourball#n	07599383n
source#n	08507558n
source#v	02238536v
source_book#n	06418558n
source_code#n	06358513n
source_language#n	06283912n
source_materials#n	06675581n
source_of_illumination#n	04263760n
source_program#n	06577063n
sourdine#n	04264050n
sourdough#n	15048748n
sourdough_bread#n	07686720n
soured#a	02369763a
soured_cream#n	07848093n
souring#n	13559409n
sourish#a	02369460a
sourly#r	00462718r
sourness#n	05716744n
sourpuss#n	10627899n
soursop#n	11694664n
soursop_tree#n	11694664n
sourwood#n	12242409n
sousa#n	11308988n
sousaphone#n	02804252n
souse#n	09782167n
souse#v	00216216v
soused#a	00798103a
sousing#n	00277811n
souslik#n	02358584n
sousse#n	09038439n
soutache#n	04264134n
soutane#n	04264233n
south#n	09050730n
south#a	01602330a
south#r	00243938r
south-african_yellowwood#n	11652753n
south-central#a	01602797a
south-central_dravidian#n	06980465n
south-east#r	00462016r
south-polar#a	02444627a
south-seeking_pole#n	03817331n
south-southeast#r	00462203r
south-southwest#r	00462301r
south-west#r	00462110r
south_africa#n	08999482n
south_african#n	09731436n
south_african#a	02928926a
south_african_dutch#n	06952861n
south_african_monetary_unit#n	13696402n
south_america#n	09440400n
south_american#n	09731571n
south_american#a	02928728a
south_american_bullfrog#n	01643896n
south_american_country#n	08702402n
south_american_indian#n	09726621n
south_american_nation#n	08702402n
south_american_poison_toad#n	01654863n
south_american_sea_lion#n	02078292n
south_american_staghorn#n	13177768n
south_atlantic#n	09440948n
south_australia#n	08834408n
south_bend#n	09086070n
south_by_east#n	13833256n
south_by_west#n	13833504n
south_carolina#n	09138239n
south_carolinian#n	09745535n
south_celestial_pole#n	08652854n
south_china_sea#n	09441107n
south_dakota#n	09138935n
south_dakotan#n	09745636n
south_dravidian#n	06979249n
south_equatorial_current#n	11489383n
south_frigid_zone#n	08494459n
south_island#n	08972335n
south_korea#n	08955626n
south_korean#n	09719207n
south_korean#a	02968166a
south_korean_monetary_unit#n	13709223n
south_korean_won#n	13709360n
south_of_houston#n	09121619n
south_pacific#n	09441587n
south_platte#n	09441725n
south_platte_river#n	09441725n
south_pole#n	08652717n
south_sea#n	09441875n
south_sea_islands#n	09442001n
south_side#n	08650507n
south_southeast#n	13833119n
south_southwest#n	13833623n
south_temperate_zone#n	08662288n
south_vietnam#n	09163844n
south_west_africa#n	08699654n
south_wind#n	11511405n
south_yorkshire#n	08885631n
southbound#a	01602683a
southeast#n	13832841n
southeast#r	00462016r
southeast#a	01603649a
southeast_asia#n	08715110n
southeast_by_east#n	13832717n
southeast_by_south#n	13832993n
southeaster#n	11448714n
southeasterly#a	01603649a
southeastern#a	01603518a
southeastern_pocket_gopher#n	02354320n
southeastern_united_states#n	08563478n
southeastward#n	13832841n
southeastward#r	00512210r
southeastward#a	01603789a
southeastwardly#r	00512210r
souther#n	11511405n
southerly#n	11511405n
southerly#r	00462954r
southerly#a	01603179a
southern#a	01606648a
southern_arrow_wood#n	12681141n
southern_aster#n	11937023n
southern_baptist#n	10628097n
southern_baptist_convention#n	08089955n
southern_beech#n	12266217n
southern_beech_fern#n	13230843n
southern_blue_flag#n	12415272n
southern_bog_lemming#n	02345997n
southern_buckthorn#n	12772908n
southern_cabbage_butterfly#n	02281267n
southern_crab_apple#n	12635532n
southern_cross#n	09441352n
southern_cypress#n	11641963n
southern_dewberry#n	12655498n
southern_flounder#n	02661473n
southern_flying_squirrel#n	02360933n
southern_harebell#n	12037864n
southern_hemisphere#n	08652551n
southern_lights#n	11427501n
southern_live_oak#n	12279772n
southern_magnolia#n	11710136n
southern_maidenhair#n	13207094n
southern_porgy#n	02593679n
southern_red_cedar#n	11637810n
southern_red_oak#n	12271933n
southern_rhodesia#n	09167101n
southern_scup#n	02593679n
southern_spadefoot#n	01649556n
southern_spatterdock#n	11716698n
southern_tai#n	06935823n
southern_triangle#n	09461864n
southern_white_cedar#n	11635152n
southern_yellow_pine#n	11615967n
southerner#n	10628222n
southernism#n	07152027n
southernmost#a	01603354a
southernness#n	05079309n
southernwood#n	11929291n
southey#n	11309164n
southland#n	08563085n
southmost#a	01603354a
southpaw#n	10252921n
southward#n	13833375n
southward#r	00462954r
southward#a	01602683a
southwards#r	00462954r
southwest#n	13833886n
southwest#r	00462110r
southwest#a	01604000a
southwest_by_south#n	13833760n
southwest_by_west#n	13834038n
southwester#n	11448593n
southwesterly#a	01604000a
southwestern#n	06949407n
southwestern#a	01603869a
southwestern_lip_fern#n	13209460n
southwestern_toad#n	01647466n
southwestern_united_states#n	08563627n
southwestern_white_pine#n	11613692n
southwestward#n	13833886n
southwestward#r	00512379r
southwestward#a	01604146a
southwestwardly#r	00512379r
soutine#n	11309318n
souvenir#n	03610270n
souvlaki#n	07870069n
souvlakia#n	07870069n
sovereign#n	10628644n
sovereign#a	01062393a
sovereign_immunity#n	00214526n
sovereignty#n	13992935n
soviet#n	08320201n
soviet#a	02959406a
soviet_kgb#n	08485434n
soviet_russia#n	09007723n
soviet_socialist_republic#n	09006205n
soviet_union#n	09003284n
sovietise#v	02434119v
sovietism#n	08368308n
sovietize#v	02434119v
soviets#n	08053407n
sow#n	02396088n
sow#v	01500873v
sow_bug#n	01992262n
sow_in#v	01501347v
sow_one's_oats#v	01192179v
sow_one's_wild_oats#v	01192179v
sow_thistle#n	12018760n
sowbane#n	11829922n
sowbelly#n	07671363n
sowbread#n	12093600n
sower#n	10629020n
soweto#n	09002433n
sown#a	01832245a
soy#n	12532564n
soy_flour#n	07569873n
soy_sauce#n	07825972n
soya#n	12532168n
soya_bean#n	12532564n
soya_milk#n	07844867n
soyabean_oil#n	07675262n
soybean#n	12532564n
soybean_flour#n	07569873n
soybean_future#n	04264485n
soybean_meal#n	07569873n
soybean_milk#n	07844867n
soybean_oil#n	07675262n
soybean_plant#n	12532168n
soymilk#n	07844867n
sozzled#a	00798103a
spa#n	08678615n
space#n	00028651n
space#v	01988080v
space-reflection_symmetry#n	06105314n
space-time#n	06010737n
space-time_continuum#n	06010737n
space_age#n	15262794n
space_bar#n	04264628n
space_biology#n	06071722n
space_cadet#n	10629142n
space_capsule#n	04264765n
space_heater#n	04265275n
space_helmet#n	04265428n
space_laboratory#n	04266162n
space_lattice#n	05732086n
space_medicine#n	06063275n
space_needle#n	04265535n
space_platform#n	04266162n
space_probe#n	04265668n
space_program#n	05900716n
space_rocket#n	04265904n
space_shuttle#n	04266014n
space_station#n	04266162n
space_travel#n	00313502n
space_vehicle#n	04264914n
space_walk#n	00292981n
space_writer#n	10629449n
spacecraft#n	04264914n
spacecraft_clock_time#n	15131598n
spacecraft_event_time#n	15131448n
spaced#a	00542282a
spaced-out#a	00609938a
spacefaring#n	00313502n
spaceflight#n	00313502n
spaceman#n	09818022n
spaceship#n	04304215n
spacesuit#n	04266375n
spacewalk#v	01906202v
spacewalker#n	10629329n
spaceward#r	00515228r
spacewards#r	00515228r
spacey#a	00609938a
spacial#a	02841066a
spacing#n	15282534n
spaciotemporal#a	00528333a
spacious#a	01384212a
spaciously#r	00444832r
spaciousness#n	05105265n
spackle#n	15048888n
spackling_compound#n	15048888n
spacy#a	00609938a
spade#n	04266660n
spade#v	01310249v
spade-like#a	02150029a
spade-shaped#a	02150029a
spade_bit#n	04266849n
spade_casino#n	00498947n
spadefish#n	02604954n
spadefoot#n	01649170n
spadefoot_toad#n	01649170n
spadeful#n	13769870n
spadework#n	00795508n
spadix#n	13133932n
spaghetti#n	07700003n
spaghetti_and_meatballs#n	07877187n
spaghetti_junction#n	04266968n
spaghetti_sauce#n	07838233n
spaghetti_squash#n	12160303n
spaghetti_western#n	06618653n
spaghettini#n	07700095n
spain#n	09023321n
spalacidae#n	02368563n
spalax#n	02368687n
spall#n	09442146n
spallanzani#n	11309449n
spallation#n	13559509n
spam#n	07573347n
spam#v	01032715v
spammer#n	10629545n
span#n	15134340n
span#v	02685390v
span_loading#n	13826732n
spandau#n	04267091n
spandex#n	04267165n
spandrel#n	04267246n
spandril#n	04267246n
spang#v	01236941v
spangle#n	04173698n
spangle#v	02163183v
spangled#a	00056660a
spangly#a	00056660a
spaniard#n	09731906n
spaniel#n	02101108n
spanish#n	06966825n
spanish#a	02958576a
spanish-american_war#n	01308668n
spanish-speaking#a	00500126a
spanish_american#n	10629647n
spanish_armada#n	08293088n
spanish_bayonet#n	12482668n
spanish_broom#n	12571330n
spanish_burgoo#n	07589967n
spanish_capital#n	09024467n
spanish_cedar#n	12697152n
spanish_cedar_tree#n	12697152n
spanish_chestnut#n	12263204n
spanish_civil_war#n	01308837n
spanish_dagger#n	12483841n
spanish_elm#n	12818601n
spanish_fly#n	02179340n
spanish_garlic#n	12434985n
spanish_gorse#n	12530629n
spanish_grunt#n	02588945n
spanish_guinea#n	08763500n
spanish_heath#n	12228886n
spanish_inquisition#n	08333224n
spanish_iris#n	12415595n
spanish_lime#n	12744850n
spanish_lime_tree#n	12744850n
spanish_mackerel#n	07781497n
spanish_monetary_unit#n	13690650n
spanish_moss#n	12608127n
spanish_needles#n	11940478n
spanish_oak#n	12278865n
spanish_onion#n	07722763n
spanish_oyster_plant#n	12010815n
spanish_paprika#n	07824863n
spanish_people#n	09733243n
spanish_peseta#n	13690758n
spanish_pointer#n	02099997n
spanish_psyllium#n	12599874n
spanish_rice#n	07877299n
spanish_sahara#n	08970833n
spanish_tamarind#n	12670962n
spanish_tea#n	11828804n
spanish_war#n	01308668n
spank#n	00134472n
spank#v	01420928v
spanker#n	10608803n
spanking#n	01162784n
spanking#a	00874226a
spanner#n	04606574n
spar#n	15049096n
spar#v	02362700v
spar_buoy#n	07266979n
sparaxis#n	12418356n
sparaxis_tricolor#n	12418507n
spare#n	04267870n
spare#v	02464583v
spare#a	00991301a
spare-time_activity#n	00432689n
spare_part#n	04267870n
spare_time#n	15137425n
spare_tire#n	05556204n
sparely#r	00463080r
spareness#n	05114781n
sparer#n	10629820n
sparerib#n	07656961n
spareribs#n	07862348n
sparganiaceae#n	12156308n
sparganium#n	12156484n
sparge#n	00278555n
sparge#v	01890223v
sparge_pipe#n	04267985n
sparid#n	02590495n
sparid_fish#n	02590495n
sparidae#n	02590237n
sparing#a	02421364a
sparingly#r	00396699r
spark#n	07412310n
spark#v	01643657v
spark_advance#n	05051088n
spark_arrester#n	04268275n
spark_chamber#n	04268418n
spark_coil#n	04268565n
spark_counter#n	04268418n
spark_gap#n	04268799n
spark_lever#n	04269086n
spark_off#v	01643657v
spark_plug#n	04269270n
spark_transmitter#n	04269668n
sparker#n	04268142n
sparking_plug#n	04269270n
sparkle#n	04953380n
sparkle#v	02766390v
sparkle_metal#n	15049309n
sparkleberry#n	12246773n
sparkler#n	13372123n
sparkling#n	07411645n
sparkling#a	02299748a
sparkling_water#n	07936548n
sparkling_wine#n	07893528n
sparkly#a	00805810a
sparkplug_wrench#n	04269502n
sparling#n	07798872n
sparmannia#n	12205308n
sparmannia_africana#n	12205460n
sparring#n	07182744n
sparring_match#n	07471708n
sparring_mate#n	10629939n
sparring_partner#n	10629939n
sparrow#n	01539573n
sparrow-sized#a	02224588a
sparrow_hawk#n	01612122n
sparrow_unit#n	08209386n
sparse#a	00542359a
sparsely#r	00463245r
sparseness#n	05114781n
sparsity#n	05114781n
sparta#n	08787240n
spartan#n	09711661n
spartan#a	02972690a
spartina#n	12139367n
spartina_cynosuroides#n	12139793n
spartina_pectinmata#n	12139921n
spartium#n	12571194n
spartium_junceum#n	12571330n
spasm#n	14360459n
spasmodic#a	02303754a
spasmodic_laryngitis#n	14174011n
spasmodically#r	00463471r
spasmolysis#n	00354785n
spasmolytic#n	02724533n
spassky#n	11309772n
spastic#n	10630093n
spastic#a	03119608a
spastic_abasia#n	14549823n
spastic_bladder#n	14401644n
spastic_colon#n	14306245n
spastic_paralysis#n	14094653n
spasticity#n	04771738n
spat#n	07184735n
spat#v	02757182v
spatangoida#n	02319689n
spatchcock#n	07645886n
spatchcock#v	01665332v
spate#n	13774404n
spathe#n	13155175n
spathe_flower#n	11792341n
spathiphyllum#n	11792341n
spatial#a	02841066a
spatial_arrangement#n	05083328n
spatial_property#n	05062748n
spatial_relation#n	05074774n
spatiality#n	05062748n
spatially#r	00130549r
spatiotemporal#a	02811081a
spatter#n	07394814n
spatter#v	01374020v
spatterdock#n	11716422n
spattered#a	01695891a
spattering#n	07394814n
spatula#n	04270147n
spatula-shaped#a	02170821a
spatulate#a	02170821a
spatulate_leaf#n	13159890n
spavin#n	14272915n
spavined#a	01020007a
spawl#n	09442146n
spawn#n	01461315n
spawn#v	01649024v
spawner#n	02513939n
spay#v	00060477v
spayed#a	02137205a
spaying#n	00692726n
speak#v	00941990v
speak_for#v	02542141v
speak_in_tongues#v	00933239v
speak_of_the_devil#v	00882682v
speak_out#v	01027668v
speak_up#v	01027668v
speakable#a	00943831a
speakeasy#n	04270276n
speaker#n	10630188n
speaker_identification#n	05763767n
speaker_system#n	03691459n
speaker_unit#n	03691459n
speakerphone#n	04270371n
speakership#n	00604424n
speaking#n	07129867n
speaking#a	00152896a
speaking_trumpet#n	04270576n
speaking_tube#n	04270765n
spear#n	04270891n
spear#v	01444887v
spear-point#n	04271371n
spear_carrier#n	10676569n
spear_thistle#n	11955153n
spear_thrower#n	04430158n
spear_up#v	02714200v
spearfish#n	02632039n
spearhead#n	10631512n
spearhead#v	02440608v
spearhead-shaped#a	02168400a
spearmint#n	12856287n
spearmint_oil#n	07812662n
spearnose_bat#n	02142734n
spearpoint#n	04271371n
spec#n	06725067n
special#n	07166851n
special#a	01104026a
special_act#n	06565919n
special_agent#n	10631765n
special_air_service#n	08346031n
special_assessment#n	13315827n
special_branch#n	08121867n
special_contract#n	06524278n
special_court-martial#n	08331762n
special_delivery#n	06623481n
special_drawing_rights#n	13330941n
special_education#n	05757731n
special_effect#n	05917994n
special_forces#n	08213424n
special_interest#n	07968974n
special_jury#n	08415469n
special_k#n	03606572n
special_olympics#n	07457311n
special_pleading#n	07182888n
special_relativity#n	06107083n
special_relativity_theory#n	06107083n
special_session#n	07147902n
special_theory_of_relativity#n	06107083n
special_verdict#n	01193672n
special_weapons_and_tactics_squad#n	08274126n
special_weapons_and_tactics_team#n	08274126n
specialisation#n	13559782n
specialise#v	02446164v
specialised#a	02277607a
specialiser#n	10631941n
specialism#n	05705184n
specialist#n	10631941n
specialistic#a	02799988a
speciality#n	05159225n
specialization#n	00583747n
specialize#v	00437449v
specialized#a	02277607a
specializer#n	10631941n
specially#r	00502710r
specialness#n	04763925n
specialty#n	05159225n
specialty_store#n	04271531n
speciate#v	00119266v
speciation#n	13560079n
specie#n	13387877n
species#n	08110373n
specifiable#a	01273033a
specific#n	05818182n
specific#a	01103021a
specific_gravity#n	04941687n
specific_heat#n	11472352n
specific_performance#n	00097923n
specifically#r	00041758r
specification#n	06725067n
specificity#n	04762915n
specified#a	01099536a
specifier#n	10633298n
specify#v	01018928v
specimen#n	05822239n
specimen_bottle#n	04271793n
specious#a	02462210a
specious_argument#n	06755156n
speciously#r	00463655r
speciousness#n	04875113n
speck#n	04681230n
speck#v	01273406v
specked#a	01788445a
speckle#n	04682462n
speckle#v	01538469v
speckled#a	01788445a
speckled_alder#n	12285705n
speckled_rattlesnake#n	01757343n
speckled_trout#n	07794893n
speckless#a	00418364a
specs#n	04272054n
spectacle#n	06889138n
spectacled#a	00056943a
spectacled_caiman#n	01699254n
spectacles#n	04272054n
spectacular#n	06894243n
spectacular#a	01284212a
spectacularly#r	00209976r
spectate#v	02151700v
spectator#n	10633450n
spectator_pump#n	04272389n
spectator_sport#n	00886968n
specter#n	05898171n
spectinomycin#n	04272541n
spectral#a	02800132a
spectral_color#n	04959672n
spectral_colour#n	04959672n
spectre#n	09547111n
spectrogram#n	04272638n
spectrograph#n	04272782n
spectrographic#a	02800291a
spectrographic_analysis#n	00649482n
spectrographically#r	00463732r
spectrometer#n	03726516n
spectrometric#a	02918132a
spectrometry#n	00649482n
spectrophotometer#n	04272928n
spectroscope#n	04273064n
spectroscopic#a	02918271a
spectroscopic_analysis#n	00649482n
spectroscopical#a	02918271a
spectroscopy#n	00649482n
spectrum#n	11420831n
spectrum_analysis#n	00649482n
spectrum_line#n	06801138n
specular#a	02008082a
speculate#v	00633443v
speculation#n	06782680n
speculative#a	02274537a
speculatively#r	00241871r
speculativeness#n	14543756n
speculator#n	10634316n
speculum#n	04273433n
speech#n	07238694n
speech-endowed#a	00150835a
speech-read#v	00627970v
speech_act#n	07160883n
speech_communication#n	07109196n
speech_community#n	08224985n
speech_day#n	15222686n
speech_defect#n	14400677n
speech_disorder#n	14400677n
speech_intelligibility#n	04820102n
speech_organ#n	05305614n
speech_pattern#n	07131511n
speech_perception#n	05711674n
speech_production#n	07129867n
speech_rhythm#n	07086323n
speech_sound#n	07111047n
